C:\Users\ASUS\PycharmProjects\pythonProject1\venv\Scripts\python.exe C:/Users/ASUS/PycharmProjects/pythonProject1/城市.py
gen:0 evo,best dist :549.6656892760693
gen:1 evo,best dist :366.8493754962422
gen:2 evo,best dist :365.4069074856593
gen:3 evo,best dist :360.320769530337
gen:4 evo,best dist :326.9107540836524
gen:5 evo,best dist :320.4480528755364
gen:6 evo,best dist :320.16758308111116
gen:7 evo,best dist :320.16758308111116
gen:8 evo,best dist :320.16758308111116
gen:9 evo,best dist :320.16758308111116
gen:10 evo,best dist :300.3193208150962
gen:11 evo,best dist :300.3193208150962
gen:12 evo,best dist :286.8091899432726
gen:13 evo,best dist :286.8091899432726
gen:14 evo,best dist :276.4604473477287
gen:15 evo,best dist :296.4360483121026
gen:16 evo,best dist :292.1295472331351
gen:17 evo,best dist :261.73165719642134
gen:18 evo,best dist :259.31995905054805
gen:19 evo,best dist :246.93298444924315
gen:20 evo,best dist :259.31995905054805
gen:21 evo,best dist :238.47377167384641
gen:22 evo,best dist :238.47377167384641
gen:23 evo,best dist :238.47377167384641
gen:24 evo,best dist :238.47377167384641
gen:25 evo,best dist :232.47630134422678
gen:26 evo,best dist :282.6439281213922
gen:27 evo,best dist :262.1587966093696
gen:28 evo,best dist :228.06169908482832
gen:29 evo,best dist :216.4506696991376
gen:30 evo,best dist :214.9999391078519
gen:31 evo,best dist :214.9999391078519
gen:32 evo,best dist :214.31657247073457
gen:33 evo,best dist :229.00874152157803
gen:34 evo,best dist :210.07860616764145
gen:35 evo,best dist :210.07860616764145
gen:36 evo,best dist :207.15494311449513
gen:37 evo,best dist :206.16062380303163
gen:38 evo,best dist :206.16062380303163
gen:39 evo,best dist :206.16062380303163
gen:40 evo,best dist :200.6739074694336
gen:41 evo,best dist :200.6739074694336
gen:42 evo,best dist :200.6739074694336
gen:43 evo,best dist :200.6739074694336
gen:44 evo,best dist :200.6739074694336
gen:45 evo,best dist :200.6739074694336
gen:46 evo,best dist :200.6739074694336
gen:47 evo,best dist :200.6739074694336
gen:48 evo,best dist :200.6739074694336
gen:49 evo,best dist :200.6739074694336
gen:50 evo,best dist :198.79477269034186
gen:51 evo,best dist :198.12051991453887
gen:52 evo,best dist :195.3286069437216
gen:53 evo,best dist :193.5269522590683
gen:54 evo,best dist :190.8987528168402
gen:55 evo,best dist :189.86442502213274
gen:56 evo,best dist :189.86442502213274
gen:57 evo,best dist :189.86442502213274
gen:58 evo,best dist :189.86442502213274
gen:59 evo,best dist :189.86442502213274
gen:60 evo,best dist :189.86442502213274
gen:61 evo,best dist :189.60452755337127
gen:62 evo,best dist :189.60452755337127
gen:63 evo,best dist :189.60452755337127
gen:64 evo,best dist :189.60452755337127
gen:65 evo,best dist :185.02547555424425
gen:66 evo,best dist :182.8791962807598
gen:67 evo,best dist :182.7783435875574
gen:68 evo,best dist :181.44189189632496
gen:69 evo,best dist :181.37972417062227
gen:70 evo,best dist :181.37972417062227
gen:71 evo,best dist :178.40324527946953
gen:72 evo,best dist :178.40324527946953
gen:73 evo,best dist :178.40324527946953
gen:74 evo,best dist :178.40324527946953
gen:75 evo,best dist :178.40324527946953
gen:76 evo,best dist :178.40324527946953
gen:77 evo,best dist :178.40324527946953
gen:78 evo,best dist :178.40324527946953
gen:79 evo,best dist :178.40324527946953
gen:80 evo,best dist :178.40324527946953
gen:81 evo,best dist :178.40324527946953
gen:82 evo,best dist :178.19857911740107
gen:83 evo,best dist :178.19857911740107
gen:84 evo,best dist :178.19857911740107
gen:85 evo,best dist :173.48722629960767
gen:86 evo,best dist :173.48722629960767
gen:87 evo,best dist :173.48722629960767
gen:88 evo,best dist :173.48722629960767
gen:89 evo,best dist :173.48722629960767
gen:90 evo,best dist :173.48722629960767
gen:91 evo,best dist :173.48722629960767
gen:92 evo,best dist :172.8058600554408
gen:93 evo,best dist :169.8382669345299
gen:94 evo,best dist :169.8382669345299
gen:95 evo,best dist :169.8382669345299
gen:96 evo,best dist :169.8382669345299
gen:97 evo,best dist :169.8382669345299
gen:98 evo,best dist :169.8382669345299
gen:99 evo,best dist :169.8382669345299
gen:100 evo,best dist :169.8382669345299
gen:101 evo,best dist :166.23338434002235
gen:102 evo,best dist :165.83367697991315
gen:103 evo,best dist :165.83367697991315
gen:104 evo,best dist :165.83367697991315
gen:105 evo,best dist :165.83367697991315
gen:106 evo,best dist :165.83367697991315
gen:107 evo,best dist :165.83367697991315
gen:108 evo,best dist :165.83367697991315
gen:109 evo,best dist :165.83367697991315
gen:110 evo,best dist :165.83367697991315
gen:111 evo,best dist :165.83367697991315
gen:112 evo,best dist :164.7847675543689
gen:113 evo,best dist :164.7847675543689
gen:114 evo,best dist :164.7847675543689
gen:115 evo,best dist :164.7847675543689
gen:116 evo,best dist :164.7847675543689
gen:117 evo,best dist :164.7847675543689
gen:118 evo,best dist :164.7847675543689
gen:119 evo,best dist :164.7847675543689
gen:120 evo,best dist :164.7847675543689
gen:121 evo,best dist :164.7847675543689
gen:122 evo,best dist :164.7847675543689
gen:123 evo,best dist :164.7847675543689
gen:124 evo,best dist :164.7847675543689
gen:125 evo,best dist :164.7847675543689
gen:126 evo,best dist :164.7847675543689
gen:127 evo,best dist :164.7847675543689
gen:128 evo,best dist :164.7847675543689
gen:129 evo,best dist :164.7847675543689
gen:130 evo,best dist :164.7847675543689
gen:131 evo,best dist :164.7847675543689
gen:132 evo,best dist :163.52858696875043
gen:133 evo,best dist :163.52858696875043
gen:134 evo,best dist :163.52858696875043
gen:135 evo,best dist :163.52858696875043
gen:136 evo,best dist :163.52858696875043
gen:137 evo,best dist :163.52858696875043
gen:138 evo,best dist :163.52858696875043
gen:139 evo,best dist :163.52858696875043
gen:140 evo,best dist :163.52858696875043
gen:141 evo,best dist :162.36920732612123
gen:142 evo,best dist :162.36920732612123
gen:143 evo,best dist :162.09873784424678
gen:144 evo,best dist :162.09873784424678
gen:145 evo,best dist :162.09873784424678
gen:146 evo,best dist :162.09873784424678
gen:147 evo,best dist :161.85185413084085
gen:148 evo,best dist :161.85185413084085
gen:149 evo,best dist :161.85185413084085
gen:150 evo,best dist :161.85185413084085
gen:151 evo,best dist :161.85185413084085
gen:152 evo,best dist :161.85185413084085
gen:153 evo,best dist :161.85185413084085
gen:154 evo,best dist :161.85185413084085
gen:155 evo,best dist :161.85185413084085
gen:156 evo,best dist :159.92629879621654
gen:157 evo,best dist :159.92629879621654
gen:158 evo,best dist :159.92629879621654
gen:159 evo,best dist :159.92629879621654
gen:160 evo,best dist :159.92629879621654
gen:161 evo,best dist :159.92629879621654
gen:162 evo,best dist :159.92629879621654
gen:163 evo,best dist :159.92629879621654
gen:164 evo,best dist :159.92629879621654
gen:165 evo,best dist :159.92629879621654
gen:166 evo,best dist :159.92629879621654
gen:167 evo,best dist :159.92629879621654
gen:168 evo,best dist :159.92629879621654
gen:169 evo,best dist :159.92629879621654
gen:170 evo,best dist :159.92629879621654
gen:171 evo,best dist :159.92629879621654
gen:172 evo,best dist :159.92629879621654
gen:173 evo,best dist :159.92629879621654
gen:174 evo,best dist :159.92629879621654
gen:175 evo,best dist :159.92629879621654
gen:176 evo,best dist :159.92629879621654
gen:177 evo,best dist :159.92629879621654
gen:178 evo,best dist :159.92629879621654
gen:179 evo,best dist :159.92629879621654
gen:180 evo,best dist :159.92629879621654
gen:181 evo,best dist :159.92629879621654
gen:182 evo,best dist :159.92629879621654
gen:183 evo,best dist :159.92629879621654
gen:184 evo,best dist :159.92629879621654
gen:185 evo,best dist :159.92629879621654
gen:186 evo,best dist :159.92629879621654
gen:187 evo,best dist :159.92629879621654
gen:188 evo,best dist :159.92629879621654
gen:189 evo,best dist :159.92629879621654
gen:190 evo,best dist :159.92629879621654
gen:191 evo,best dist :159.92629879621654
gen:192 evo,best dist :159.92629879621654
gen:193 evo,best dist :159.92629879621654
gen:194 evo,best dist :159.92629879621654
gen:195 evo,best dist :159.92629879621654
gen:196 evo,best dist :159.92629879621654
gen:197 evo,best dist :159.92629879621654
gen:198 evo,best dist :159.92629879621654
gen:199 evo,best dist :159.92629879621654
gen:200 evo,best dist :159.92629879621654
gen:201 evo,best dist :159.92629879621654
gen:202 evo,best dist :159.92629879621654
gen:203 evo,best dist :159.92629879621654
gen:204 evo,best dist :159.92629879621654
gen:205 evo,best dist :159.92629879621654
gen:206 evo,best dist :159.92629879621654
gen:207 evo,best dist :159.92629879621654
gen:208 evo,best dist :159.92629879621654
gen:209 evo,best dist :159.92629879621654
gen:210 evo,best dist :159.92629879621654
gen:211 evo,best dist :159.92629879621654
gen:212 evo,best dist :159.92629879621654
gen:213 evo,best dist :159.92629879621654
gen:214 evo,best dist :159.92629879621654
gen:215 evo,best dist :159.92629879621654
gen:216 evo,best dist :159.92629879621654
gen:217 evo,best dist :159.92629879621654
gen:218 evo,best dist :159.92629879621654
gen:219 evo,best dist :159.92629879621654
gen:220 evo,best dist :159.92629879621654
gen:221 evo,best dist :159.92629879621654
gen:222 evo,best dist :159.92629879621654
gen:223 evo,best dist :159.92629879621654
gen:224 evo,best dist :159.92629879621654
gen:225 evo,best dist :159.92629879621654
gen:226 evo,best dist :159.92629879621654
gen:227 evo,best dist :159.92629879621654
gen:228 evo,best dist :159.92629879621654
gen:229 evo,best dist :159.92629879621654
gen:230 evo,best dist :159.92629879621654
gen:231 evo,best dist :159.92629879621654
gen:232 evo,best dist :159.92629879621654
gen:233 evo,best dist :159.92629879621654
gen:234 evo,best dist :159.92629879621654
gen:235 evo,best dist :159.92629879621654
gen:236 evo,best dist :159.92629879621654
gen:237 evo,best dist :159.92629879621654
gen:238 evo,best dist :159.92629879621654
gen:239 evo,best dist :159.92629879621654
gen:240 evo,best dist :159.92629879621654
gen:241 evo,best dist :159.92629879621654
gen:242 evo,best dist :159.92629879621654
gen:243 evo,best dist :159.92629879621654
gen:244 evo,best dist :159.92629879621654
gen:245 evo,best dist :159.92629879621654
gen:246 evo,best dist :159.92629879621654
gen:247 evo,best dist :159.92629879621654
gen:248 evo,best dist :159.92629879621654
gen:249 evo,best dist :159.92629879621654
gen:250 evo,best dist :159.92629879621654
gen:251 evo,best dist :159.92629879621654
gen:252 evo,best dist :159.92629879621654
gen:253 evo,best dist :159.92629879621654
gen:254 evo,best dist :159.92629879621654
gen:255 evo,best dist :159.92629879621654
gen:256 evo,best dist :159.92629879621654
gen:257 evo,best dist :159.92629879621654
gen:258 evo,best dist :159.92629879621654
gen:259 evo,best dist :159.92629879621654
gen:260 evo,best dist :159.92629879621654
gen:261 evo,best dist :159.92629879621654
gen:262 evo,best dist :159.92629879621654
gen:263 evo,best dist :159.92629879621654
gen:264 evo,best dist :159.92629879621654
gen:265 evo,best dist :159.92629879621654
gen:266 evo,best dist :159.92629879621654
gen:267 evo,best dist :159.92629879621654
gen:268 evo,best dist :159.92629879621654
gen:269 evo,best dist :159.92629879621654
gen:270 evo,best dist :159.92629879621654
gen:271 evo,best dist :159.92629879621654
gen:272 evo,best dist :159.92629879621654
gen:273 evo,best dist :159.92629879621654
gen:274 evo,best dist :159.92629879621654
gen:275 evo,best dist :159.92629879621654
gen:276 evo,best dist :159.92629879621654
gen:277 evo,best dist :159.92629879621654
gen:278 evo,best dist :159.92629879621654
gen:279 evo,best dist :159.92629879621654
gen:280 evo,best dist :159.92629879621654
gen:281 evo,best dist :159.92629879621654
gen:282 evo,best dist :159.92629879621654
gen:283 evo,best dist :159.92629879621654
gen:284 evo,best dist :159.92629879621654
gen:285 evo,best dist :159.92629879621654
gen:286 evo,best dist :159.92629879621654
gen:287 evo,best dist :159.92629879621654
gen:288 evo,best dist :159.92629879621654
gen:289 evo,best dist :159.92629879621654
gen:290 evo,best dist :159.92629879621654
gen:291 evo,best dist :159.92629879621654
gen:292 evo,best dist :159.92629879621654
gen:293 evo,best dist :159.92629879621654
gen:294 evo,best dist :159.92629879621654
gen:295 evo,best dist :159.92629879621654
gen:296 evo,best dist :159.92629879621654
gen:297 evo,best dist :159.92629879621654
gen:298 evo,best dist :159.92629879621654
gen:299 evo,best dist :159.92629879621654
gen:300 evo,best dist :159.92629879621654
gen:301 evo,best dist :159.92629879621654
gen:302 evo,best dist :159.92629879621654
gen:303 evo,best dist :159.92629879621654
gen:304 evo,best dist :159.92629879621654
gen:305 evo,best dist :159.92629879621654
gen:306 evo,best dist :159.92629879621654
gen:307 evo,best dist :159.92629879621654
gen:308 evo,best dist :159.92629879621654
gen:309 evo,best dist :159.92629879621654
gen:310 evo,best dist :159.92629879621654
gen:311 evo,best dist :159.92629879621654
gen:312 evo,best dist :159.92629879621654
gen:313 evo,best dist :159.92629879621654
gen:314 evo,best dist :159.92629879621654
gen:315 evo,best dist :159.92629879621654
gen:316 evo,best dist :159.92629879621654
gen:317 evo,best dist :159.92629879621654
gen:318 evo,best dist :159.92629879621654
gen:319 evo,best dist :159.92629879621654
gen:320 evo,best dist :159.92629879621654
gen:321 evo,best dist :159.92629879621654
gen:322 evo,best dist :159.92629879621654
gen:323 evo,best dist :159.92629879621654
gen:324 evo,best dist :159.92629879621654
gen:325 evo,best dist :159.92629879621654
gen:326 evo,best dist :159.92629879621654
gen:327 evo,best dist :159.92629879621654
gen:328 evo,best dist :159.92629879621654
gen:329 evo,best dist :159.92629879621654
gen:330 evo,best dist :159.92629879621654
gen:331 evo,best dist :159.92629879621654
gen:332 evo,best dist :159.92629879621654
gen:333 evo,best dist :159.92629879621654
gen:334 evo,best dist :159.92629879621654
gen:335 evo,best dist :159.92629879621654
gen:336 evo,best dist :159.92629879621654
gen:337 evo,best dist :159.92629879621654
gen:338 evo,best dist :159.92629879621654
gen:339 evo,best dist :159.92629879621654
gen:340 evo,best dist :159.92629879621654
gen:341 evo,best dist :159.92629879621654
gen:342 evo,best dist :159.92629879621654
gen:343 evo,best dist :159.92629879621654
gen:344 evo,best dist :159.92629879621654
gen:345 evo,best dist :159.92629879621654
gen:346 evo,best dist :159.92629879621654
gen:347 evo,best dist :159.92629879621654
gen:348 evo,best dist :159.92629879621654
gen:349 evo,best dist :159.92629879621654
gen:350 evo,best dist :159.92629879621654
gen:351 evo,best dist :159.92629879621654
gen:352 evo,best dist :159.92629879621654
gen:353 evo,best dist :159.92629879621654
gen:354 evo,best dist :159.92629879621654
gen:355 evo,best dist :159.92629879621654
gen:356 evo,best dist :159.92629879621654
gen:357 evo,best dist :159.92629879621654
gen:358 evo,best dist :159.92629879621654
gen:359 evo,best dist :159.92629879621654
gen:360 evo,best dist :159.92629879621654
gen:361 evo,best dist :159.92629879621654
gen:362 evo,best dist :159.92629879621654
gen:363 evo,best dist :159.92629879621654
gen:364 evo,best dist :159.92629879621654
gen:365 evo,best dist :159.92629879621654
gen:366 evo,best dist :159.92629879621654
gen:367 evo,best dist :159.92629879621654
gen:368 evo,best dist :159.92629879621654
gen:369 evo,best dist :159.92629879621654
gen:370 evo,best dist :159.92629879621654
gen:371 evo,best dist :159.92629879621654
gen:372 evo,best dist :159.92629879621654
gen:373 evo,best dist :159.92629879621654
gen:374 evo,best dist :159.92629879621654
gen:375 evo,best dist :159.92629879621654
gen:376 evo,best dist :159.92629879621654
gen:377 evo,best dist :159.92629879621654
gen:378 evo,best dist :159.92629879621654
gen:379 evo,best dist :159.92629879621654
gen:380 evo,best dist :159.92629879621654
gen:381 evo,best dist :159.92629879621654
gen:382 evo,best dist :159.92629879621654
gen:383 evo,best dist :159.92629879621654
gen:384 evo,best dist :159.92629879621654
gen:385 evo,best dist :159.92629879621654
gen:386 evo,best dist :159.92629879621654
gen:387 evo,best dist :159.92629879621654
gen:388 evo,best dist :159.92629879621654
gen:389 evo,best dist :159.92629879621654
gen:390 evo,best dist :159.92629879621654
gen:391 evo,best dist :159.92629879621654
gen:392 evo,best dist :159.92629879621654
gen:393 evo,best dist :159.92629879621654
gen:394 evo,best dist :159.92629879621654
gen:395 evo,best dist :159.92629879621654
gen:396 evo,best dist :159.92629879621654
gen:397 evo,best dist :159.92629879621654
gen:398 evo,best dist :159.92629879621654
gen:399 evo,best dist :159.92629879621654
gen:400 evo,best dist :159.92629879621654
gen:401 evo,best dist :159.92629879621654
gen:402 evo,best dist :159.92629879621654
gen:403 evo,best dist :159.92629879621654
gen:404 evo,best dist :159.92629879621654
gen:405 evo,best dist :159.92629879621654
gen:406 evo,best dist :159.92629879621654
gen:407 evo,best dist :159.92629879621654
gen:408 evo,best dist :159.92629879621654
gen:409 evo,best dist :159.92629879621654
gen:410 evo,best dist :159.92629879621654
gen:411 evo,best dist :159.92629879621654
gen:412 evo,best dist :159.92629879621654
gen:413 evo,best dist :159.92629879621654
gen:414 evo,best dist :159.92629879621654
gen:415 evo,best dist :159.92629879621654
gen:416 evo,best dist :159.92629879621654
gen:417 evo,best dist :159.92629879621654
gen:418 evo,best dist :159.92629879621654
gen:419 evo,best dist :159.92629879621654
gen:420 evo,best dist :159.92629879621654
gen:421 evo,best dist :159.92629879621654
gen:422 evo,best dist :159.92629879621654
gen:423 evo,best dist :159.92629879621654
gen:424 evo,best dist :159.92629879621654
gen:425 evo,best dist :159.92629879621654
gen:426 evo,best dist :159.92629879621654
gen:427 evo,best dist :159.92629879621654
gen:428 evo,best dist :159.92629879621654
gen:429 evo,best dist :159.92629879621654
gen:430 evo,best dist :159.92629879621654
gen:431 evo,best dist :159.92629879621654
gen:432 evo,best dist :159.92629879621654
gen:433 evo,best dist :159.92629879621654
gen:434 evo,best dist :159.92629879621654
gen:435 evo,best dist :159.92629879621654
gen:436 evo,best dist :159.92629879621654
gen:437 evo,best dist :159.92629879621654
gen:438 evo,best dist :159.92629879621654
gen:439 evo,best dist :159.92629879621654
gen:440 evo,best dist :159.92629879621654
gen:441 evo,best dist :159.92629879621654
gen:442 evo,best dist :159.92629879621654
gen:443 evo,best dist :159.92629879621654
gen:444 evo,best dist :159.92629879621654
gen:445 evo,best dist :159.92629879621654
gen:446 evo,best dist :159.92629879621654
gen:447 evo,best dist :159.92629879621654
gen:448 evo,best dist :159.92629879621654
gen:449 evo,best dist :159.92629879621654
gen:450 evo,best dist :159.92629879621654
gen:451 evo,best dist :159.92629879621654
gen:452 evo,best dist :159.92629879621654
gen:453 evo,best dist :159.92629879621654
gen:454 evo,best dist :159.92629879621654
gen:455 evo,best dist :159.92629879621654
gen:456 evo,best dist :159.92629879621654
gen:457 evo,best dist :159.92629879621654
